category_name,name,inventory,price,description,visible,image_url
Perennials,Dahlia Cornel,24,17.99,"Medium-sized, spherical purple-red flowers on strong stems",true,https://c1.staticflickr.com/7/6090/6098919466_aa9b872f1d_b.jpg
Perennials,Chelsea Stickel,36,35.23,"Hot-pink leaves with ruffled, variegated borders edged with a thin line of light green.",true,https://www.gardendesign.com/pictures/images/477x482Exact/site_3/pink-coleus-garden-crossings_9180.jpg
Perennials,Peony,48,45.23,Outrageously beautiful in bloom in springtime with lush foliage all summer long.,true,https://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/image_nodes/peony-pink.jpg?itok=Q873K-gF
Perennials,Daffodil,36,35.23,Flowers with six petal-like tepals surmounted by a cup or trumpet-shaped corona.,true,https://upload.wikimedia.org/wikipedia/commons/5/5b/Narcissus_Geranium.jpg
Perennials,Blanket Flower,72,55.23,"On top of their visual appeal, the bright, cheery blossoms of blanket flower are a wonderful food source for pollinators.",true,https://upload.wikimedia.org/wikipedia/commons/d/de/Gaillardia_fanfare_centered.jpg
Cactus,Velvet Cactus,60,42.99,designer Cactus,true,https://zimedesign.files.wordpress.com/2017/01/img_4333.jpg
Cactus,Bevertail Cactus,70,35.99,"Medium-sized to small prickly pear cactus, growing to about 60 cm tall, with pink to rose colored flowers",true,http://www.desertplants.org/wp-content/uploads/2016/09/Multi-small_8337.jpg
Cactus,Ball Cactus,60,38.99,"Broad cactus with heavily ribbed, spherical to columnar, spiny and hairy stems, bearing pale yellow flowers in summer",true,https://ssl.c.photoshelter.com/img-get/I0000yIb8h3gwQ.w/s/750/750/100624-150-Parodia-warasii.jpg
Cactus,Old Lady Cactus,100,28.99,Spiny cacti with spherical or columnar stems,true,https://upload.wikimedia.org/wikipedia/commons/1/19/Montr%C3%A9al_jardin_botanique_mammillaire_cactus.jpg
Cactus,Turk's Cap Cactus,100,28.99,The spines are stout and usually feature a distinct central spine surrounded by radial spines resembling an asterisk.,true,https://seedlingsindia.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/e/melocactus_matanzanuszanus.jpg
Flower Bulbs,Hyacinth Bulbs,72,17.98,Loved for its intoxicating perfume.,true,http://www.edenbrothers.com/store/media/Bulbs-Flowers/HYWH%20116-0950-1.jpg
Flower Bulbs,Crocus,96,17.98,These are the early blooming and long lived flowers of spring that everyone knows and loves.,true,http://www.natures-desktop.com/images/wallpapers/1680x1050/flowers/purple-crocus-spring.jpg
Flower Bulbs,Anemone,72,16.98,"Marianne White anemone is lovely, delicate and has a poetic common name -windflower.",true,http://www.theflowersavenue.com/gallery/the-anemone-flower/the-anemone-flower.jpg
Flower Bulbs,Asiatic Lily,72,17.98,This unique Tango Lily is simply stunning with its rich black petals tipped in vibrant yellow,true,https://img1.etsystatic.com/175/0/8204508/il_570xN.1172727829_3sgo.jpg
Flower Bulbs,Ranunculus,72,7.98,"Exquisite, rose like blossoms that are often seen in high-end flower shops and wedding bouquets.",true,https://mobileimages.lowes.com/product/converted/020536/020536355665.jpg
House Plants,Aloe Vera,48,25.99,"The leaves are thick and fleshy, green to grey-green, with some varieties showing white flecks on their upper and lower stem surfaces.",true,https://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/9/7e/97e68565-7f92-511f-a948-2ee2af4aaade/527b073568353.image.jpg
House Plants,Ogre Ears Jade Plant,48,25.99,Produces pale pink flower clusters in the springtime  Very low maintenance plant in suitable growing conditions,true,https://i.pinimg.com/736x/14/e9/79/14e9794af99e5a74f2b832667b05effc--crassula-ovata-cacti-and-succulents.jpg
House Plants,Spider Plant,48,5.99,One of the most adaptable and easiest house plants to grow.,true,http://www.gardenloversclub.com/wp-content/uploads/2016/09/spider-plant.jpg
House Plants,Peace Lily,48,20.99,"It lives best in shade and needs little sunlight to thrive, and is watered approximately once a week.",true,http://tipsplants.com/sites/default/files/peace_lily_plant2_0.jpg
